name,from,to,rating,tv_or_movie,genre,runtime,votes 
Harpoon,2019,None,6,Movie,horror,83 min,"3,008"
Shingeki no kyojin,2015,None,5.1,Movie,horror,98 min,"11,590"
The Head Hunter,2018,None,5.3,Movie,horror,72 min,"4,443"
31,2016,None,5.1,Movie,horror,102 min,"17,457"
The Shining,1997,None,6.1,Movie,horror,273 min,"15,240"
Abraham Lincoln: Vampire Hunter,2012,None,5.9,Movie,horror,105 min,"146,778"
Trick 'r Treat,2007,None,6.8,Movie,horror,82 min,"77,667"
Scary Movie 5,2013,None,3.5,Movie,horror,88 min,"63,642"
Sharknado,2013,None,3.3,TV,horror,86 min,"45,281"
Le pacte des loups,2001,None,7,Movie,horror,142 min,"61,349"
The Fourth Kind,2009,None,5.9,Movie,horror,98 min,"72,325"
After Midnight,2019,None,5.2,Movie,horror,83 min,"1,453"
The Woman in Black,2012,None,6.4,Movie,horror,95 min,"170,953"
In the Mouth of Madness,1995,None,7.2,Movie,horror,95 min,"58,737"
The Lawnmower Man,1992,None,5.5,Movie,horror,108 min,"33,055"
Gremlins 2: The New Batch,1990,None,6.4,Movie,horror,106 min,"89,769"
Dreamkatcher,2020,None,3.8,Movie,horror,85 min,799
Daybreakers,2009,None,6.4,Movie,horror,98 min,"120,221"
Repulsion,1965,None,7.7,Movie,horror,105 min,"47,069"
Before I Wake,2016,None,6.2,Movie,horror,97 min,"36,915"
Lords of Chaos,2018,None,6.5,Movie,horror,118 min,"10,996"
The Divide,2011,None,5.8,Movie,horror,112 min,"34,734"
The Collector,2009,None,6.4,Movie,horror,90 min,"56,101"
The Darkest Hour,2011,None,4.9,Movie,horror,89 min,"56,779"
Wildling,2018,None,5.5,Movie,horror,92 min,"11,183"
Polaroid,2019,None,5.1,Movie,horror,88 min,"9,104"
The Final Destination,2009,None,5.2,Movie,horror,82 min,"94,255"
Mindhunters,2004,None,6.4,Movie,horror,106 min,"56,864"
eXistenZ,1999,None,6.8,Movie,horror,97 min,"91,469"
The Mothman Prophecies,2002,None,6.4,Movie,horror,119 min,"73,786"
Prom Night,2008,None,3.9,Movie,horror,88 min,"33,088"
Slasher,2016,None,6.7,TV,horror,60 min,"10,288"
Light as a Feather,2018,None,6.6,TV,horror,23 min,"2,502"
Dead Ringers,1988,None,7.3,Movie,horror,116 min,"39,289"
Insidious: Chapter 3,2015,None,6.1,Movie,horror,97 min,"89,624"
Furie,2019,None,5.7,Movie,horror,97 min,"1,403"
Gargoyles,1972,None,6.2,TV,horror,74 min,"2,461"
Tales of the Unexpected,1979,1988,7.7,TV,horror,25 min,"1,476"
Dracula,2013,2014,7.4,TV,horror,43 min,"27,697"
Destination Fear,2019,None,7.2,TV,horror,42 min,509
Coven of Evil,2018,None,3.3,Movie,horror,100 min,86
The Secret Circle,2011,2012,7.3,TV,horror,45 min,"44,475"
50 States of Fright,2020,None,6.6,TV,horror,7 min,215
Laserblast,1978,None,2.7,Movie,horror,85 min,"5,541"
Unfriended,2014,None,5.5,Movie,horror,83 min,"65,918"
Creepshow 2,1987,None,6.1,Movie,horror,92 min,"21,584"
Species II,1998,None,4.4,Movie,horror,93 min,"26,789"
Blood Quantum,2019,None,5.6,Movie,horror,96 min,"1,202"
Frankenstein,1994,None,6.4,Movie,horror,123 min,"49,881"
Gothika,2003,None,5.8,Movie,horror,98 min,"104,168"
The Human Centipede III (Final Sequence),2015,None,2.7,Movie,horror,102 min,"14,013"
Vampires,1998,None,6.2,Movie,horror,108 min,"51,318"
We Are What We Are,2013,None,5.9,Movie,horror,105 min,"19,342"
The Sandman,2020,None,None,Movie,horror,None,None
Solomon Kane,2009,None,6.1,Movie,horror,104 min,"67,986"
The Stepford Wives,2004,None,5.3,Movie,horror,93 min,"58,958"
Koroshiya 1,2001,None,7,Movie,horror,129 min,"50,956"
Victor Frankenstein,2015,None,6,Movie,horror,110 min,"50,617"
Jason X,2001,None,4.4,Movie,horror,91 min,"48,922"
Los cronocrímenes,2007,None,7.2,Movie,horror,92 min,"55,782"
The Invisible Man,1933,None,7.7,Movie,horror,71 min,"28,849"
The Super,2017,None,5.9,Movie,horror,90 min,"12,227"
The Haunted Mansion,2003,None,5,Movie,horror,99 min,"40,598"
I Spit on Your Grave 3: Vengeance Is Mine,2015,None,5.2,Movie,horror,92 min,"11,161"
Cat People,1982,None,6.2,Movie,horror,118 min,"18,635"
Escape Room,(201,None,4.2,TV,horror,81 min,"8,217"
Resident Evil: Extinction,2007,None,6.3,Movie,horror,94 min,"179,826"
Howl,2015,None,5.4,Movie,horror,92 min,"10,971"
Halloween II,1981,None,6.5,Movie,horror,92 min,"71,662"
Aterrados,2017,None,6.5,Movie,horror,87 min,"9,322"
The Voices,2020,None,3.6,Movie,horror,96 min,295
Hellraiser III: Hell on Earth,1992,None,5.5,Movie,horror,97 min,"26,455"
The Last of Us,2021,None,None,TV,horror,None,None
Amityville: The Awakening,2017,None,4.8,Movie,horror,85 min,"12,210"
The Monster Squad,1987,None,7.1,Movie,horror,79 min,"26,811"
Nightmare Cinema,2018,None,5.5,Movie,horror,119 min,"3,129"
Arachnophobia,1990,None,6.4,Movie,horror,109 min,"61,346"
Leatherface,2017,None,5,Movie,horror,90 min,"18,453"
The Langoliers,1995,None,6.1,Movie,horror,180 min,"26,040"
Population 436,2006,None,5.7,TV,horror,92 min,"10,694"
The Owl House,2020,None,7.8,TV,horror,None,723
Land of the Dead,2005,None,6.2,Movie,horror,93 min,"89,864"
Saw 3D,2010,None,5.6,Movie,horror,90 min,"87,908"
Wes Craven's New Nightmare,1994,None,6.4,Movie,horror,112 min,"49,246"
The Domestics,2018,None,5.7,Movie,horror,95 min,"8,083"
Day of the Dead,1985,None,7.2,Movie,horror,96 min,"61,265"
Creep 2,2017,None,6.4,Movie,horror,78 min,"16,811"
The Forest,2016,None,4.8,Movie,horror,93 min,"38,828"
The Poughkeepsie Tapes,2007,None,6.1,Movie,horror,81 min,"14,293"
Yoga Hosers,2016,None,4.3,Movie,horror,88 min,"11,702"
Maximum Overdrive,1986,None,5.5,Movie,horror,98 min,"29,028"
Bloodline, (20,None,6,TV,horror,97 min,"4,800"
A Nightmare on Elm Street 4: The Dream Master,1988,None,5.7,Movie,horror,93 min,"48,097"
The Body Snatcher,1945,None,7.3,Movie,horror,78 min,"7,943"
The Quiet Ones,2014,None,5.1,Movie,horror,98 min,"18,749"
Rings,2017,None,4.5,Movie,horror,102 min,"36,565"
When a Stranger Calls,1979,None,6.5,Movie,horror,97 min,"9,221"
Scary Movie 4,2006,None,5.1,Movie,horror,83 min,"111,252"
The Bye Bye Man,2017,None,4.2,Movie,horror,96 min,"20,466"
Shin Gojira,2016,None,6.7,Movie,horror,120 min,"20,922"
The Hole in the Ground,2019,None,5.7,Movie,horror,90 min,"13,591"
All the Boys Love Mandy Lane,2006,None,5.5,Movie,horror,90 min,"30,768"
The Possession of Hannah Grace,2018,None,5.2,Movie,horror,86 min,"16,494"
He's Out There,2018,None,5.2,Movie,horror,89 min,"6,226"
Mientras duermes,2011,None,7.2,Movie,horror,102 min,"37,018"
The Screaming Silent,2020,None,3.1,Movie,horror,107 min,75
Thelma,2017,None,7,Movie,horror,116 min,"24,558"
Swamp Thing,1982,None,5.4,Movie,horror,91 min,"12,618"
The Changeling,1980,None,7.2,Movie,horror,107 min,"28,696"
Once Bitten,1985,None,5.5,Movie,horror,94 min,"12,933"
Being Human,2011,2014,7.5,TV,horror,44 min,"23,906"
Halloween II,2009,None,4.9,Movie,horror,105 min,"47,057"
Clown,2014,None,5.7,Movie,horror,100 min,"21,160"
Dreamcatcher,2003,None,5.5,Movie,horror,136 min,"87,279"
Friday the 13th Part VI: Jason Lives,1986,None,6,Movie,horror,86 min,"36,650"
The Howling,1981,None,6.6,Movie,horror,91 min,"29,836"
Behind You,2020,None,4.3,Movie,horror,86 min,596
Bakjwi,2009,None,7.1,Movie,horror,134 min,"41,018"
Hausu,1977,None,7.4,Movie,horror,88 min,"19,343"
Do Not Reply,2019,None,6.9,Movie,horror,100 min,43
The Texas Chainsaw Massacre: The Beginning,2006,None,5.8,Movie,horror,91 min,"66,452"
"Janghwa, Hongryeon",2003,None,7.2,Movie,horror,114 min,"54,174"
Masters of Horror,2005,2007,7.5,TV,horror,60 min,"11,088"
The Dare,2019,None,4.9,Movie,horror,94 min,553
Batman: Arkham Knight,2015,None,9,TV,horror,None,"13,348"
The Belko Experiment,2016,None,6.1,Movie,horror,89 min,"41,845"
The People Under the Stairs,1991,None,6.4,Movie,horror,102 min,"30,140"
From Beyond,1986,None,6.7,Movie,horror,85 min,"21,491"
Constantine City of Demons: The Movie,2018,None,7.4,TV,horror,90 min,"3,296"
War Games,2011,None,4.5,Movie,horror,93 min,"1,161"
À l'intérieur,2007,None,6.8,Movie,horror,82 min,"36,294"
The Stuff,1985,None,5.9,Movie,horror,87 min,"13,005"
Tamara,2005,None,5.1,Movie,horror,98 min,"9,584"
The Thing from Another World,1951,None,7.1,Movie,horror,87 min,"24,585"
Ouija: Origin of Evil,2016,None,6.1,Movie,horror,99 min,"51,418"
9/11,2017,None,4.1,Movie,horror,90 min,"3,039"
Chambers,2019,None,6.5,Movie,horror,60 min,"6,523"
The Slumber Party Massacre,1982,None,5.7,Movie,horror,77 min,"10,266"
Red State,2011,None,6.2,Movie,horror,88 min,"61,012"
Quarantine,2008,None,5.9,Movie,horror,89 min,"68,823"
Angels Fallen,2020,None,5.4,Movie,horror,86 min,987
Bad Taste,1987,None,6.6,Movie,horror,91 min,"42,968"
The Hunger,1983,None,6.7,Movie,horror,97 min,"22,313"
The Void,2016,None,5.8,Movie,horror,90 min,"28,804"
The Passage,2019,None,7.4,Movie,horror,60 min,"9,978"
Wally's Wonderland,None,None,None,Movie,horror,None,None
Peeping Tom,1960,None,7.7,Movie,horror,101 min,"29,603"
Little Joe,2019,None,5.9,Movie,horror,105 min,"3,731"
Feast,2005,None,6.3,Movie,horror,95 min,"29,112"
Altered States,1980,None,6.9,Movie,horror,102 min,"31,001"
Hotel Del Luna,2019,None,8.3,TV,horror,80 min,"1,869"
The Exorcist III,1990,None,6.4,Movie,horror,110 min,"24,292"
Danny Phantom,2004,2007,7.1,TV,horror,30 min,"14,576"
The Midnight Meat Train,2008,None,6.1,Movie,horror,98 min,"58,368"
I Am the Pretty Thing That Lives in the House,2016,None,4.5,Movie,horror,89 min,"11,921"
Saints Row: The Third,2011,None,8,TV,horror,None,"5,143"
The Wicker Man,2006,None,3.7,Movie,horror,102 min,"62,908"
Deadgirl,2008,None,5.6,Movie,horror,101 min,"18,172"
The Brood,1979,None,6.8,Movie,horror,92 min,"24,309"
Nosferatu: Phantom der Nacht,1979,None,7.5,Movie,horror,107 min,"31,008"
Into the Grizzly Maze,2015,None,5.3,Movie,horror,94 min,"7,642"
Mirrors,2008,None,6.2,Movie,horror,110 min,"100,355"
Toof,2019,None,2.3,Movie,horror,86 min,144
Dracula 2000,2000,None,4.9,Movie,horror,99 min,"31,408"
The Hills Have Eyes II,2007,None,5.1,Movie,horror,89 min,"59,517"
Escape Room 2,2021,None,None,Movie,horror,None,None
Les yeux sans visage,1960,None,7.7,Movie,horror,90 min,"25,597"
Maniac Cop,1988,None,6,Movie,horror,85 min,"13,263"
The Collection,(201,None,6.1,TV,horror,82 min,"44,346"
Origin,2018,None,7.1,Movie,horror,45 min,"5,989"
Poltergeist,2015,None,4.9,Movie,horror,93 min,"53,836"
Eight Legged Freaks,2002,None,5.4,Movie,horror,99 min,"51,706"
Prom Night,1980,None,5.4,Movie,horror,92 min,"14,644"
Dark Light,2019,None,4.2,Movie,horror,90 min,"1,279"
Eliza Graves,2014,None,6.8,Movie,horror,112 min,"49,379"
Hostel: Part III,2011,None,4.6,TV,horror,88 min,"27,045"
Nightbreed,1990,None,6.6,Movie,horror,102 min,"18,881"
A Girl Walks Home Alone at Night,2014,None,7,Movie,horror,101 min,"29,425"
Jeepers Creepers 2,2003,None,5.6,Movie,horror,106 min,"56,767"
House on Haunted Hill,1959,None,6.9,Movie,horror,75 min,"21,988"
Spring,2014,None,6.7,Movie,horror,109 min,"22,976"
Sorority Row,2009,None,5.1,Movie,horror,101 min,"27,998"
Bliss,2019,None,5.8,Movie,horror,80 min,"2,852"
Il racconto dei racconti - Tale of Tales,2015,None,6.4,Movie,horror,134 min,"25,572"
V/H/S,2012,None,5.8,Movie,horror,116 min,"55,531"
Wolf,1994,None,6.2,Movie,horror,125 min,"51,201"
Winchester,2018,None,5.4,Movie,horror,99 min,"28,009"
Aamis,2019,None,8.2,Movie,horror,107 min,"1,052"
Malevolent, (20,None,4.8,TV,horror,89 min,"9,455"
Brendan Schaub: You'd Be Surprised,2019,None,2.2,TV,horror,65 min,"2,109"
Saw III,2006,None,6.2,Movie,horror,108 min,"174,017"
Wrong Turn 2: Dead End,2007,None,5.5,TV,horror,93 min,"37,124"
Slumlord,2015,None,5.1,Movie,horror,87 min,"4,545"
13 Sins,2014,None,6.3,Movie,horror,93 min,"31,946"
The Lazarus Effect,2015,None,5.2,Movie,horror,83 min,"39,953"
The Loved Ones,2009,None,6.6,Movie,horror,84 min,"36,148"
El bar,2017,None,6.3,Movie,horror,102 min,"20,816"
Wrong Turn 3: Left for Dead,2009,None,4.6,TV,horror,92 min,"22,346"
Frankenstein,1931,None,7.8,Movie,horror,70 min,"62,609"
Hidden,2015,None,6.4,Movie,horror,84 min,"18,902"
The Return of the Texas Chainsaw Massacre,1995,None,3.3,Movie,horror,87 min,"19,307"
Galaxy of Terror,1981,None,5.1,Movie,horror,81 min,"6,404"
Idle Hands,1999,None,6.2,Movie,horror,92 min,"38,668"
Life After Beth,2014,None,5.6,Movie,horror,89 min,"19,251"
Days Gone,2019,None,8.4,TV,horror,None,"2,359"
Hellbound: Hellraiser II,1988,None,6.5,Movie,horror,97 min,"40,086"
Mermaid Down,2019,None,6.3,Movie,horror,91 min,"4,135"
The Omen,2006,None,5.5,Movie,horror,110 min,"55,273"
Nails,2017,None,4.7,Movie,horror,85 min,"2,202"
The Birch,2019,None,6.5,TV,horror,15 min,334
Halloween H20: 20 Years Later,1998,None,5.8,Movie,horror,86 min,"64,215"
Stay Alive,2006,None,5.1,Movie,horror,85 min,"29,550"
Dark Water,2005,None,5.6,Movie,horror,105 min,"58,739"
Emelie,2015,None,5.4,Movie,horror,82 min,"12,895"
Motel Acacia,2019,None,3.1,Movie,horror,92 min,144
Das Cabinet des Dr. Caligari,1920,None,8.1,Movie,horror,76 min,"54,759"
Ginger Snaps,2000,None,6.8,Movie,horror,108 min,"40,422"
Compliance,2012,None,6.4,Movie,horror,90 min,"30,232"
The League of Gentlemen,1999,2017,8.4,TV,horror,60 min,"9,839"
The Rite,2011,None,6,Movie,horror,114 min,"89,067"
The Descent: Part 2,2009,None,5.8,Movie,horror,94 min,"42,571"
Tremors,2018,None,7.6,TV,horror,None,166
"Batman: The Dark Knight Returns, Part 1",2012,None,8,TV,horror,76 min,"50,532"
Don't Be Afraid of the Dark,2010,None,5.6,Movie,horror,99 min,"46,023"
The Hidden,1987,None,7,Movie,horror,97 min,"16,461"
The Stepford Wives,1975,None,6.9,Movie,horror,115 min,"15,490"
Open Water,2003,None,5.7,Movie,horror,79 min,"49,982"
Siccîn,2014,None,6.3,Movie,horror,96 min,"2,986"
Trolljegeren,2010,None,7,Movie,horror,103 min,"66,659"
The Fog,2005,None,3.7,Movie,horror,100 min,"34,404"
Dead Calm,1989,None,6.8,Movie,horror,96 min,"35,533"
Ghosts of Mars,2001,None,4.9,Movie,horror,98 min,"49,957"
Science Fiction Volume One: The Osiris Child,2016,None,5.6,Movie,horror,99 min,"7,080"
Excision,2012,None,6.1,Movie,horror,81 min,"20,069"
Cold Skin,2017,None,6,Movie,horror,108 min,"11,045"
L'uomo del labirinto,2019,None,5.5,Movie,horror,130 min,983
The Empty Man,2020,None,None,Movie,horror,None,None
La influencia,2019,None,4.5,Movie,horror,99 min,"2,422"
Wish Upon,2017,None,5,Movie,horror,90 min,"17,180"
Friday the 13th Part VII: The New Blood,1988,None,5.3,Movie,horror,88 min,"30,950"
Maggie,2015,None,5.6,Movie,horror,95 min,"40,970"
Twin Peaks: The Missing Pieces,2014,None,7.8,Movie,horror,91 min,"7,922"
Grave Encounters,2011,None,6.1,Movie,horror,92 min,"50,846"
Bride of Chucky,1998,None,5.4,Movie,horror,89 min,"50,783"
Turbo Kid,2015,None,6.7,Movie,horror,93 min,"25,415"
The Relic,1997,None,5.8,Movie,horror,110 min,"23,906"
The Little Girl Who Lives Down the Lane,1976,None,7.1,Movie,horror,100 min,"12,209"
In Fabric,2018,None,6.3,Movie,horror,118 min,"6,791"
Escape the Night,2016,None,5.6,TV,horror,23 min,748
Phenomena,1985,None,6.8,Movie,horror,116 min,"22,316"
My Bloody Valentine,2009,None,5.4,Movie,horror,101 min,"52,671"
Rattlesnake,2019,None,4.6,Movie,horror,85 min,"6,613"
Dance of the Vampires,1967,None,7.2,Movie,horror,108 min,"28,654"
La nuit a dévoré le monde,2018,None,6,Movie,horror,93 min,"8,702"
The Cave,2005,None,5.1,Movie,horror,97 min,"34,497"
The Strange Thing About the Johnsons,2011,None,7.1,Movie,horror,28 min,"2,786"
The Ring Two,2005,None,5.4,Movie,horror,110 min,"89,653"
Bait, (20,None,5.2,TV,horror,93 min,"15,789"
The Amityville Horror,1979,None,6.3,Movie,horror,117 min,"34,068"
Blade,None,None,None,Movie,horror,None,None
Anacondas: The Hunt for the Blood Orchid,2004,None,4.7,Movie,horror,97 min,"28,101"
Dark Was the Night,2014,None,5.6,Movie,horror,90 min,"8,389"
Tremors II: Aftershocks,1996,None,6,TV,horror,100 min,"25,459"
Troll 2,1990,None,2.9,Movie,horror,95 min,"30,100"
Under the Shadow,2016,None,6.9,Movie,horror,84 min,"22,100"
Aquaslash,2019,None,5.3,Movie,horror,71 min,717
Creature from the Black Lagoon,1954,None,7,Movie,horror,79 min,"25,198"
Wolf Creek,2016,2017,7.2,TV,horror,45 min,"3,917"
The Ward,2010,None,5.6,Movie,horror,89 min,"39,543"
Mimic,1997,None,5.9,Movie,horror,105 min,"44,764"
Saw IV,2007,None,5.9,Movie,horror,93 min,"136,896"
Pet,2016,None,5.7,Movie,horror,94 min,"15,075"
Typewriter,2019,None,6.5,TV,horror,48 min,"3,051"
Blair Witch,2016,None,5,Movie,horror,89 min,"39,730"
The Outer Limits,1963,1965,8.2,TV,horror,51 min,"6,942"
The Hills Have Eyes,1977,None,6.3,Movie,horror,90 min,"28,627"
Sleepwalkers,1992,None,5.3,Movie,horror,91 min,"19,602"
In the Name of the King: A Dungeon Siege Tale,2007,None,3.8,Movie,horror,127 min,"43,648"
Run,XXI,None,None,TV,horror,None,None
The Entity,1982,None,6.7,Movie,horror,125 min,"14,207"
Terrifier 2,2020,None,None,Movie,horror,None,None
...E tu vivrai nel terrore! L'aldilà,1981,None,6.8,Movie,horror,87 min,"19,340"
An American Werewolf in Paris,1997,None,5.1,Movie,horror,105 min,"22,615"
The Curse of the Were-Rabbit,2005,None,7.4,Movie,horror,85 min,"122,037"
Faces of Death,1978,None,4.2,Movie,horror,105 min,"5,978"
The Babysitter 2,2020,None,None,Movie,horror,None,None
Frankenweenie,2012,None,6.9,Movie,horror,87 min,"94,595"
Penance Lane,2020,None,5,Movie,horror,84 min,779
Passengers,2008,None,5.9,Movie,horror,93 min,"33,481"
Piranha,1978,None,5.9,Movie,horror,94 min,"18,204"
Truth or Dare,2017,None,5,TV,horror,88 min,"3,227"
Confessional, (20,None,4.5,TV,horror,None,89
Lizzie,2018,None,5.8,Movie,horror,105 min,"5,702"
Bride of Frankenstein,1935,None,7.8,Movie,horror,75 min,"41,721"
Relic,2020,None,6.8,Movie,horror,89 min,144
Mike Tyson Mysteries,2014,None,8.1,TV,horror,12 min,"3,478"
Gantz: O,2016,None,7.1,Movie,horror,95 min,"11,270"
Erufen rîto,2004,None,8,Movie,horror,24 min,"28,559"
The Man Who Laughs,1928,None,7.7,Movie,horror,110 min,"5,583"
The Blob,1958,None,6.4,Movie,horror,86 min,"21,991"
Courage the Cowardly Dog,1999,2002,8.2,TV,horror,11 min,"36,209"
The Haunting in Connecticut,2009,None,5.9,Movie,horror,92 min,"58,194"
The House of the Devil,2009,None,6.4,Movie,horror,95 min,"39,354"
The Recall,2017,None,4.2,Movie,horror,90 min,"6,499"
Shutter,(200,None,7.1,TV,horror,97 min,"39,578"
Assimilate,2019,None,5.3,Movie,horror,93 min,"3,746"
Darkness Falls,2003,None,5,Movie,horror,86 min,"29,671"
A Nightmare on Elm Street: The Dream Child,1989,None,5.2,Movie,horror,89 min,"39,284"
La Marca del Demonio,2020,None,3.2,Movie,horror,82 min,"1,468"
Carnival of Souls,1962,None,7.1,Movie,horror,78 min,"19,503"
A Dark Song,2016,None,6.2,Movie,horror,100 min,"13,281"
Little Evil,2017,None,5.7,Movie,horror,94 min,"17,849"
Profondo rosso,1975,None,7.6,Movie,horror,127 min,"30,275"
Ravenous,1999,None,7,Movie,horror,101 min,"35,722"
Super Dark Times,2017,None,6.6,Movie,horror,103 min,"16,895"
Pontypool,2008,None,6.6,Movie,horror,93 min,"28,261"
Millennium,1996,1999,8,TV,horror,45 min,"9,632"
Tokyo Ghoul: re,2018,None,7,Movie,horror,24 min,"4,740"
The Last Days on Mars,2013,None,5.5,Movie,horror,98 min,"34,449"
Jason Goes to Hell: The Final Friday,1993,None,4.2,Movie,horror,87 min,"27,020"
Hide and Seek,2005,None,6,Movie,horror,101 min,"80,103"
K-12,2019,None,6.4,Movie,horror,96 min,"2,087"
Even Lambs Have Teeth,2015,None,5.1,Movie,horror,78 min,"1,897"
Turistas,2006,None,5.4,Movie,horror,93 min,"35,320"
Night of the Demons,1988,None,6.2,Movie,horror,90 min,"12,935"
Saw V,2008,None,5.8,Movie,horror,92 min,"112,132"
Final Girl,2015,None,4.7,Movie,horror,90 min,"13,537"
Cannibal ferox,1981,None,5.2,Movie,horror,93 min,"8,766"
The Colony,2013,None,5.3,Movie,horror,95 min,"42,285"
Down a Dark Hall,2018,None,5.1,Movie,horror,96 min,"10,239"
Dagon,2001,None,6.2,Movie,horror,95 min,"16,302"
Paranormal Activity: The Marked Ones,2014,None,5,Movie,horror,84 min,"38,890"
Friend Request,2016,None,5.3,Movie,horror,92 min,"23,488"
Friday the 13th Part VIII: Jason Takes Manhattan,1989,None,4.6,Movie,horror,100 min,"32,081"
Offspring,2009,None,4.8,Movie,horror,79 min,"2,336"
Dracula,1931,None,7.5,Movie,horror,75 min,"44,479"
Black Christmas,1974,None,7.2,Movie,horror,98 min,"31,103"
The Elder Scrolls V: Skyrim,2011,None,9.4,TV,horror,None,"24,996"
The Texas Chainsaw Massacre 2,1986,None,5.6,Movie,horror,101 min,"26,561"
Bug,2006,None,6.1,Movie,horror,102 min,"32,261"
Mary,2019,None,4.4,Movie,horror,84 min,"2,167"
Stigmata,1999,None,6.2,Movie,horror,103 min,"63,069"
Curse of the Nun,2019,None,2.8,Movie,horror,80 min,731
Constantine: City of Demons,2018,2019,7.6,TV,horror,90 min,"4,567"
Clinical,2017,None,5.1,Movie,horror,104 min,"6,252"
Forbidden World,1982,None,5.2,Movie,horror,77 min,"3,993"
Chernobyl Diaries,2012,None,5,Movie,horror,86 min,"62,786"
El espinazo del diablo,2001,None,7.4,Movie,horror,106 min,"60,071"
The Reef,2010,None,5.8,Movie,horror,94 min,"16,546"
May,2002,None,6.6,Movie,horror,93 min,"32,265"
Damien: Omen II,1978,None,6.3,Movie,horror,107 min,"28,350"
The Wind,(201,None,5.5,TV,horror,86 min,"5,238"
I'm Thinking of Ending Things,2020,None,None,Movie,horror,134 min,None
Starship Troopers 2: Hero of the Federation,2004,None,3.5,TV,horror,88 min,"21,554"
Bloodride,2020,None,6.3,TV,horror,None,"2,101"
Cursed,2005,None,5,Movie,horror,97 min,"29,865"
Saturn 3,1980,None,5.2,Movie,horror,96 min,"8,090"
Rick and Morty,2013,None,9.2,TV,sci-fi,23 min,"343,088"
Snowpiercer,2020,None,6.3,TV,sci-fi,60 min,"5,978"
Dark,2017,2020,8.7,TV,sci-fi,60 min,"187,762"
Tenet,2020,None,None,Movie,sci-fi,None,None
The 100,2014,None,7.7,TV,sci-fi,43 min,"195,892"
The Vast of Night,2019,None,6.7,Movie,sci-fi,89 min,"8,847"
Westworld,2016,None,8.7,TV,sci-fi,62 min,"402,544"
Stargirl,2020,None,7.4,TV,sci-fi,45 min,"3,357"
Black Mirror,2011,None,8.8,TV,sci-fi,60 min,"405,302"
Agents of S.H.I.E.L.D.,2013,2020,7.5,TV,sci-fi,45 min,"191,139"
Snowpiercer,2013,None,7.1,Movie,sci-fi,126 min,"295,169"
Upload,2020,None,8.1,TV,sci-fi,30 min,"23,837"
Stranger Things,2016,None,8.8,TV,sci-fi,51 min,"745,673"
The Flash,2014,None,7.7,TV,sci-fi,43 min,"297,110"
Lost,2004,2010,8.3,TV,sci-fi,44 min,"477,672"
The Invisible Man,2020,None,7.1,Movie,sci-fi,124 min,"107,214"
Legends of Tomorrow,2016,None,6.8,TV,sci-fi,42 min,"88,451"
The Mandalorian,2019,None,8.7,TV,sci-fi,40 min,"174,452"
Dune,2020,None,None,Movie,sci-fi,None,None
Avengers: Endgame,2019,None,8.4,Movie,sci-fi,181 min,"728,503"
The Handmaid's Tale,2017,None,8.5,TV,sci-fi,60 min,"154,952"
The Boys,2019,None,8.7,TV,sci-fi,60 min,"148,073"
Doctor Who,2005,None,8.6,TV,sci-fi,45 min,"194,047"
Supergirl,2015,None,6.3,TV,sci-fi,43 min,"107,070"
Arrow,2012,2020,7.6,TV,sci-fi,42 min,"399,961"
Star Wars: Episode IX - The Rise of Skywalker,2019,None,6.7,Movie,sci-fi,142 min,"332,367"
Star Wars: The Clone Wars,2008,2020,8.2,TV,sci-fi,23 min,"52,549"
The Legend of Korra,2012,2014,8.4,TV,sci-fi,23 min,"92,949"
Back to the Future,1985,None,8.5,Movie,sci-fi,116 min,"1,009,438"
Star Trek: The Next Generation,1987,1994,8.6,TV,sci-fi,44 min,"95,068"
The Expanse,2015,None,8.5,TV,sci-fi,60 min,"92,334"
Inception,2010,None,8.8,Movie,sci-fi,148 min,"1,973,794"
Lovecraft Country,2020,None,None,TV,sci-fi,60 min,None
Interstellar,2014,None,8.6,Movie,sci-fi,169 min,"1,424,440"
Sonic the Hedgehog,2020,None,6.6,Movie,sci-fi,99 min,"66,349"
Batwoman,2019,None,3.5,TV,sci-fi,45 min,"26,988"
Zack Snyder's Justice League,2021,None,None,Movie,sci-fi,None,None
The VelociPastor,2018,None,5.2,Movie,sci-fi,75 min,"2,245"
The Umbrella Academy,2019,None,7.9,TV,sci-fi,60 min,"100,785"
El hoyo,2019,None,7,Movie,sci-fi,94 min,"131,075"
Gotham,2014,2019,7.8,TV,sci-fi,42 min,"205,928"
Avanpost,2019,None,6,Movie,sci-fi,127 min,"2,402"
Watchmen,2019,None,8.1,Movie,sci-fi,60 min,"69,549"
Thor: Ragnarok,2017,None,7.9,Movie,sci-fi,130 min,"554,795"
Bloodshot,2020,None,5.7,Movie,sci-fi,109 min,"41,876"
Doom Patrol,2019,None,8,TV,sci-fi,60 min,"25,539"
Lucy in the Sky,2019,None,4.7,Movie,sci-fi,124 min,"3,918"
Justice League,2017,None,6.4,Movie,sci-fi,120 min,"365,635"
Alita: Battle Angel,2019,None,7.3,Movie,sci-fi,122 min,"210,772"
Star Trek: Deep Space Nine,1993,1999,7.9,TV,sci-fi,45 min,"49,500"
The Matrix,1999,None,8.7,Movie,sci-fi,136 min,"1,614,602"
The X Files,1993,2018,8.6,TV,sci-fi,45 min,"192,150"
Captain America: The First Avenger,2011,None,6.9,Movie,sci-fi,124 min,"716,945"
