name,from,to,rating,Tv/Movie,Country Name,Time Duration,Genre,votes,reviews,Meta Score,Certificate,critics,creators,stars
Back to the Future,1985,None,8.5,Movie,USA,1h 56min,comedy,"1,008,491","1,149",87,PG,240,Robert Zemeckis  ,Robert Zemeckis  
Bones,2005,2017,7.8,TV,USA,40min,comedy,"134,577",218,None,TV-14,55,Hart Hanson  ,Emily Deschanel  David Boreanaz  Michaela Conlin  
It's Always Sunny in Philadelphia,2005,None,8.8,TV,USA,22min,comedy,"182,329",309,None,TV-MA,87,Glenn Howerton  Rob McElhenney  ,Charlie Day  Glenn Howerton  Rob McElhenney  
The Healer,2017,None,6.3,Movie,Spain,1h 53min,comedy,"5,148",67,None,Not Rated,12,Paco Arango  ,
Sex Education,2019,None,8.3,TV,UK,45min,comedy,"134,995",867,None,TV-MA,46,Laurie Nunn  ,Asa Butterfield  Gillian Anderson  Ncuti Gatwa  
Seinfeld,1989,1998,8.8,TV,USA,22min,comedy,"242,869",468,None,TV-PG,33,Larry David  Jerry Seinfeld  ,Jerry Seinfeld  Julia Louis-Dreyfus  Michael Richards  
Sonic the Hedgehog,2020,None,6.6,Movie,USA,1h 39min,comedy,"65,603",961,47,None,238,Jeff Fowler  ,Pat Casey  
After Life,2019,None,8.5,TV,UK,30min,comedy,"72,644","1,647",None,TV-MA,58,Ricky Gervais  ,Ricky Gervais  Tom Basden  Tony Way  
Scrubs,2001,2010,8.3,TV,USA,22min,comedy,"231,453",348,None,TV-14,64,Bill Lawrence  ,Zach Braff  Donald Faison  Sarah Chalke  
The VelociPastor,2018,None,5.2,Movie,USA,1h 15min,comedy,"2,172",99,None,None,48,Brendan Steere  ,
Two and a Half Men,2003,2015,7.0,TV,USA,22min,comedy,"234,927",393,None,TV-14,50,Lee Aronsohn  Chuck Lorre  ,Jon Cryer  Ashton Kutcher  Angus T. Jones  
Gilmore Girls,2000,2007,8.1,TV,USA,44min,comedy,"93,245",335,None,TV-PG,38,Amy Sherman-Palladino  ,Lauren Graham  Alexis Bledel  Keiko Agena  
The Umbrella Academy,2019,None,7.9,TV,USA,1h,comedy,"100,588","1,038",None,TV-14,59,Steve Blackman  Jeremy Slater  ,Ellen Page  Tom Hopper  David Castañeda  
The Walking Dead,2010,None,8.2,TV,USA,44min,horror,"827,519","1,801",None,TV-14,310,Frank Darabont  Angela Kang  ,Andrew Lincoln  Norman Reedus  Melissa McBride  
Supernatural,2005,2020,8.4,TV,USA,44min,horror,"374,391",955,None,TV-14,119,Eric Kripke  ,Jared Padalecki  Jensen Ackles  Jim Beaver  
